"City","Latitude","Longitude","Date and Time","Air Quality Index (AQI)","Air Quality (AQ) Description","Dominant Pollutant Name","Satellite Image Filename"
"New York City","40.47281374379284","-74.37193106380263","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.36601725124059 40.46831713576325 -74.37784487636466 1.0005027310295673.png"
"New York City","40.427847663496905","-74.39558631405075","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.38967250148872 40.423351055467315 -74.40150012661277 1.0011724430670486.png"
"New York City","40.49080017591122","-74.47837968991917","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.47246587735714 40.48630356788162 -74.4842935024812 1.0002346736625398.png"
"New York City","40.47281374379284","-74.38375868892669","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.37784487636466 40.46831713576325 -74.38967250148872 1.0005027310283654.png"
"New York City","40.427847663496905","-74.4074139391748","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.40150012661277 40.423351055467315 -74.41332775173683 1.0011724430670486.png"
"New York City","40.337915502905034","-74.44289681454698","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.43698300198496 40.333418894875436 -74.44881062710901 1.002510016988692.png"
"New York City","40.47281374379284","-74.39558631405075","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.38967250148872 40.46831713576325 -74.40150012661277 1.0005027310283654.png"
"New York City","40.49080017591122","-74.49020731504322","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.4842935024812 40.48630356788162 -74.49612112760525 1.0002346736625398.png"
"New York City","40.36489515108259","-74.31279293818233","2017-10-31T21:08:32","77","Fair air quality","o3","40.36939175911219 -74.3068791256203 40.360398543053 -74.31870675074435 1.002109003972456.png"
"New York City","40.427847663496905","-74.41924156429886","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.41332775173683 40.423351055467315 -74.4251553768609 1.0011724430682511.png"
"New York City","40.47281374379284","-74.4074139391748","2017-10-31T21:08:32","66","Fair air quality","pm10","40.47731035182244 -74.40150012661277 40.46831713576325 -74.41332775173683 1.0005027310283654.png"
"New York City","40.49080017591122","-74.50203494016728","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.49612112760525 40.48630356788162 -74.5079487527293 1.0002346736625398.png"
"New York City","40.337915502905034","-74.45472443967104","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.44881062710901 40.333418894875436 -74.46063825223307 1.002510016988692.png"
"New York City","40.47281374379284","-74.41924156429886","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.41332775173683 40.46831713576325 -74.4251553768609 1.0005027310295673.png"
"New York City","40.427847663496905","-74.43106918942293","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.4251553768609 40.423351055467315 -74.43698300198496 1.0011724430670486.png"
"New York City","40.49080017591122","-74.51386256529133","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.5079487527293 40.48630356788162 -74.51977637785338 1.0002346736637417.png"
"New York City","40.2929494226091","-74.46655206479511","2017-10-31T21:08:32","77","Fair air quality","o3","40.29744603063869 -74.46063825223307 40.2884528145795 -74.47246587735714 1.0031778780490181.png"
"New York City","40.36489515108259","-74.32462056330638","2017-10-31T21:08:32","77","Fair air quality","o3","40.36939175911219 -74.31870675074435 40.360398543053 -74.33053437586842 1.00210900397366.png"
"New York City","40.47281374379284","-74.43106918942293","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.4251553768609 40.46831713576325 -74.43698300198496 1.0005027310283654.png"
"New York City","40.337915502905034","-74.46655206479511","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.46063825223307 40.333418894875436 -74.47246587735714 1.0025100169898962.png"
"New York City","40.35590193502341","-74.54934544066352","2017-10-31T21:08:32","77","Fair air quality","o3","40.360398543053 -74.54343162810149 40.35140532699381 -74.55525925322554 1.002242699668583.png"
"New York City","40.427847663496905","-74.44289681454698","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.43698300198496 40.423351055467315 -74.44881062710901 1.0011724430670486.png"
"New York City","40.49080017591122","-74.5256901904154","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.51977637785338 40.48630356788162 -74.53160400297743 1.0002346736625398.png"
"New York City","40.47281374379284","-74.44289681454698","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.43698300198496 40.46831713576325 -74.44881062710901 1.0005027310283654.png"
"New York City","40.36489515108259","-74.33644818843045","2017-10-31T21:08:32","77","Fair air quality","o3","40.36939175911219 -74.33053437586842 40.360398543053 -74.34236200099248 1.002109003972456.png"
"New York City","40.337915502905034","-74.47837968991917","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.47246587735714 40.333418894875436 -74.4842935024812 1.002510016988692.png"
"New York City","40.49080017591122","-74.53751781553946","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.53160400297743 40.48630356788162 -74.54343162810149 1.0002346736625398.png"
"New York City","40.427847663496905","-74.45472443967104","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.44881062710901 40.423351055467315 -74.46063825223307 1.0011724430670486.png"
"New York City","40.47281374379284","-74.45472443967104","2017-10-31T21:08:32","77","Fair air quality","o3","40.47731035182244 -74.44881062710901 40.46831713576325 -74.46063825223307 1.0005027310283654.png"
"New York City","40.35590193502341","-74.56117306578759","2017-10-31T21:08:32","77","Fair air quality","o3","40.360398543053 -74.55525925322554 40.35140532699381 -74.56708687834961 1.002242699669787.png"
"New York City","40.337915502905034","-74.49020731504322","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.4842935024812 40.333418894875436 -74.49612112760525 1.002510016988692.png"
"New York City","40.47281374379284","-74.46655206479511","2017-10-31T21:08:32","75","Fair air quality","pm10","40.47731035182244 -74.46063825223307 40.46831713576325 -74.47246587735714 1.0005027310295673.png"
"New York City","40.36489515108259","-74.34827581355451","2017-10-31T21:08:32","77","Fair air quality","o3","40.36939175911219 -74.34236200099248 40.360398543053 -74.35418962611654 1.002109003972456.png"
"New York City","40.49080017591122","-74.54934544066352","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.54343162810149 40.48630356788162 -74.55525925322554 1.0002346736625398.png"
"New York City","40.427847663496905","-74.46655206479511","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.46063825223307 40.423351055467315 -74.47246587735714 1.0011724430682511.png"
"New York City","40.2929494226091","-74.47837968991917","2017-10-31T21:08:32","77","Fair air quality","o3","40.29744603063869 -74.47246587735714 40.2884528145795 -74.4842935024812 1.0031778780478129.png"
"New York City","40.35590193502341","-74.57300069091164","2017-10-31T21:08:32","77","Fair air quality","o3","40.360398543053 -74.56708687834961 40.35140532699381 -74.57891450347367 1.002242699668583.png"
"New York City","40.47281374379284","-74.47837968991917","2017-10-31T21:08:32","70","Fair air quality","pm10","40.47731035182244 -74.47246587735714 40.46831713576325 -74.4842935024812 1.0005027310283654.png"
"New York City","40.337915502905034","-74.50203494016728","2017-10-31T21:08:32","77","Fair air quality","o3","40.342412110934625 -74.49612112760525 40.333418894875436 -74.5079487527293 1.002510016988692.png"
"New York City","40.49080017591122","-74.56117306578759","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.55525925322554 40.48630356788162 -74.56708687834961 1.0002346736637417.png"
"New York City","40.427847663496905","-74.47837968991917","2017-10-31T21:08:32","77","Fair air quality","o3","40.432344271526496 -74.47246587735714 40.423351055467315 -74.4842935024812 1.0011724430670486.png"
"New York City","40.47281374379284","-74.49020731504322","2017-10-31T21:08:32","72","Fair air quality","pm10","40.47731035182244 -74.4842935024812 40.46831713576325 -74.49612112760525 1.0005027310283654.png"
"New York City","40.36489515108259","-74.36010343867856","2017-10-31T21:08:32","77","Fair air quality","o3","40.36939175911219 -74.35418962611654 40.360398543053 -74.36601725124059 1.002109003972456.png"
"New York City","40.49080017591122","-74.57300069091164","2017-10-31T21:08:32","77","Fair air quality","o3","40.49529678394081 -74.56708687834961 40.48630356788162 -74.57891450347367 1.0002346736625398.png"
